Column1,Column2,Column3,Column4
Constituency,State,Winner,Party
Agiaon,Bihar,Shiv Prakash Ranjan,Communist Party of India (Marxist-Leninist) (Liberation)
Vijapur,Gujarat,Dr. C. J. Chavda,Bharatiya Janata Party
Porbandar,Gujarat,Arjun Devabhai Modhwadia,Bharatiya Janata Party
Manavadar,Gujarat,Arvindbhai Jinabhai Ladani,Bharatiya Janata Party
Khambhat,Gujarat,Chiragkumar Arvindbhai Patel,Bharatiya Janata Party
Vaghodia,Gujarat,Dharmendrasinh Vaghela (Bapu),Bharatiya Janata Party
Karnal,Haryana,Nayab Singh,Bharatiya Janata Party
Dharamshala,Himachal Pradesh,Sudhir Sharma,Bharatiya Janata Party
Lahaul & Spiti,Himachal Pradesh,Anuradha Rana,Indian National Congress
Sujanpur,Himachal Pradesh,Captain Ranjit Singh,Indian National Congress
Barsar,Himachal Pradesh,Inder Dutt Lakhanpal,Bharatiya Janata Party
Gagret,Himachal Pradesh,Rakesh Kalia,Indian National Congress
Kutlehar,Himachal Pradesh,Vivek Sharma (Vicku),Indian National Congress
Gandey,Jharkhand,Kalpana Murmu Soren,Jharkhand Mukti Morcha
Shorapur,Karnataka,Raja Venugopal Naik,Indian National Congress
Bagidora,Rajasthan,Jaikrishn Patel,Bharat Adivasi Party
Vilavancode,Tamil Nadu,Tharahai Cuthbert,Indian National Congress
Secunderabad Cantt,Telangana,Sriganesh,Indian National Congress
Ramnagar,Tripura,Dipak Majumder,Bharatiya Janata Party
Dadraul,Uttar Pradesh,Arvind Kumar Singh,Bharatiya Janata Party
Lucknow East,Uttar Pradesh,O. P. Srivastava,Bharatiya Janata Party
Gainsari,Uttar Pradesh,Rakesh Kumar Yadav,Samajwadi Party
Duddhi,Uttar Pradesh,Vijay Singh,Samajwadi Party
Bhagabangola,West Bengal,Reyat Hossain Sarkar,All India Trinamool Congress
Baranagar,West Bengal,Sayantika Banerjee,All India Trinamool Congress
